project_id,project_name,department,status,start_date,end_date,budget,actual_cost,project_manager_id,priority,region,budget_variance,is_over_budget,duration_days,budget_utilisation_pct,status_category,risk_level
PRJ0077,Predictive Healthcare #77,Sales,Completed,2023-07-22,2024-05-15,1200000.0,1360336.0,EMP0873,Medium,Abu Dhabi,160336.0,True,298.0,113.36133333333332,Closed,High
PRJ0078,Employee Wellness App - Q3 #78,Sustainability,Completed,2024-06-04,2025-11-01,50000.0,42043.0,EMP0331,Low,Dubai,-7957.0,False,515.0,84.086,Closed,Low
PRJ0079,Data Platform Modernisation Phase 2 #79,HR,Completed,2023-06-15,2024-10-25,200000.0,190125.0,EMP0916,Medium,Dubai,-9875.0,False,498.0,95.0625,Closed,Medium
PRJ0080,Energy Optimisation Platform Phase 3 #80,Procurement,Not Started,,,0.0,0.0,EMP0921,Low,Abu Dhabi,0.0,False,,,Pending,Low
PRJ0081,AI Forecasting Engine #81,IT,Completed,2022-05-22,2023-01-04,500000.0,578539.0,EMP0787,Medium,Abu Dhabi,78539.0,True,227.0,115.7078,Closed,High
PRJ0082,Performance Analytics Phase 2 #82,Operations,Completed,2022-02-25,2022-07-05,1200000.0,808639.0,EMP0424,Low,Sharjah,-391361.0,False,130.0,67.38658333333333,Closed,Low
PRJ0083,Visual Analytics Suite - Q2 #83,Engineering,Completed,2024-03-28,2024-09-05,200000.0,212518.0,EMP0688,High,Abu Dhabi,12518.0,True,161.0,106.259,Closed,High
PRJ0084,Employee Wellness App Phase 2 #84,Operations,In Progress,2024-09-28,,500000.0,524904.0,EMP0363,Medium,Abu Dhabi,24904.0,True,,104.9808,Active,High
PRJ0085,Internal Audit Digitisation - Q3 #85,Finance,Completed,2024-07-24,2024-09-30,50000.0,41400.0,EMP0468,Medium,Sharjah,-8600.0,False,68.0,82.8,Closed,Low
PRJ0086,ERP Consolidation Phase 3 #86,Data Science,Completed,2023-09-08,2024-03-03,80000.0,79220.0,EMP0962,Medium,Dubai,-780.0,False,177.0,99.025,Closed,Medium
PRJ0087,Carbon Footprint Tracker #87,IT,Not Started,,,0.0,0.0,EMP0016,Low,Abu Dhabi,0.0,False,,,Pending,Low
PRJ0088,Quality Assurance Automation #88,Engineering,Completed,2023-03-06,2024-07-21,350000.0,288057.0,EMP0464,High,Abu Dhabi,-61943.0,False,503.0,82.30199999999999,Closed,Medium
PRJ0089,Employee Wellness App Phase 2 #89,HR,Not Started,,,0.0,0.0,EMP0185,Low,Abu Dhabi,0.0,False,,,Pending,Low
PRJ0090,Risk Assessment Framework Phase 3 #90,Marketing,In Progress,2022-02-22,,500000.0,308549.0,EMP0545,Low,Sharjah,-191451.0,False,,61.7098,Active,Low
PRJ0091,Contract Lifecycle Management - Q1 #91,Marketing,Completed,2022-12-14,2023-05-03,80000.0,48717.0,EMP0249,Low,Ajman,-31283.0,False,140.0,60.89625,Closed,Low
PRJ0092,Network Security Overhaul - Q4 #92,Legal,Not Started,,,100000.0,0.0,EMP0707,High,Abu Dhabi,-100000.0,False,,0.0,Pending,Medium
PRJ0093,Tax Automation Platform Phase 3 #93,IT,In Progress,2025-01-10,,500000.0,587071.0,EMP0801,High,Dubai,87071.0,True,,117.4142,Active,High
PRJ0094,Visual Analytics Suite Phase 2 #94,Operations,Completed,2022-10-20,2023-04-13,80000.0,83672.0,EMP0848,Medium,Sharjah,3672.0,True,175.0,104.59,Closed,High
PRJ0095,AI Forecasting Engine Phase 2 #95,Finance,In Progress,2023-09-09,,500000.0,513138.0,EMP0536,High,Dubai,13138.0,True,,102.6276,Active,High
PRJ0096,Workflow Automation Phase 2 #96,HR,Completed,2022-10-25,2023-10-16,50000.0,52438.0,EMP0946,Medium,Abu Dhabi,2438.0,True,356.0,104.876,Closed,High
PRJ0097,Regulatory Compliance Tool #97,IT,Completed,2023-05-03,2023-09-22,800000.0,634815.0,EMP0661,Medium,Sharjah,-165185.0,False,142.0,79.351875,Closed,Low
PRJ0098,Regulatory Compliance Tool - Q4 #98,Operations,Completed,2023-06-23,2024-05-27,1200000.0,804829.0,EMP0316,High,Dubai,-395171.0,False,339.0,67.06908333333334,Closed,Medium
PRJ0099,Mobile Workforce App Phase 2 #99,Finance,In Progress,2024-09-25,,2000000.0,1747579.0,EMP0109,High,Abu Dhabi,-252421.0,False,,87.37895,Active,Medium
PRJ0100,Compliance Monitoring #100,HR,Completed,2022-02-22,2023-01-26,120000.0,78810.0,EMP0529,High,Abu Dhabi,-41190.0,False,338.0,65.675,Closed,Medium
PRJ0101,Sentiment Analysis Engine Phase 2 #101,HR,In Progress,2024-06-12,,2000000.0,2381174.0,EMP0092,Critical,Ras Al Khaimah,381174.0,True,,119.0587,Active,High
PRJ0102,Employee Wellness App Phase 2 #102,IT,Not Started,,,0.0,0.0,EMP0028,Medium,Dubai,0.0,False,,,Pending,Low
PRJ0103,Compliance Monitoring #103,Sustainability,Completed,2023-04-17,2024-06-05,2000000.0,1400104.0,EMP0181,Low,Abu Dhabi,-599896.0,False,415.0,70.0052,Closed,Low
PRJ0104,Smart Building System Phase 2 #104,Sustainability,On Hold,2023-07-27,,300000.0,34402.0,EMP0449,Medium,Sharjah,-265598.0,False,,11.467333333333334,Pending,Low
PRJ0105,Contract Lifecycle Management - Q4 #105,HR,In Progress,2023-09-07,,50000.0,32246.0,EMP0835,High,Abu Dhabi,-17754.0,False,,64.492,Active,Medium
PRJ0106,Recommendation System #106,Legal,In Progress,2024-09-11,,120000.0,127050.0,EMP0953,Critical,Ras Al Khaimah,7050.0,True,,105.875,Active,High
PRJ0107,Risk Assessment Framework - Q2 #107,Legal,Completed,2023-05-25,2024-09-23,500000.0,321159.0,EMP0311,Low,Abu Dhabi,-178841.0,False,487.0,64.23179999999999,Closed,Low
PRJ0108,Recommendation System Phase 2 #108,Digital,In Progress,2023-07-19,,500000.0,303230.0,EMP0128,Medium,Dubai,-196770.0,False,,60.646,Active,Low
PRJ0109,IoT Sensor Network Phase 2 #109,Sales,Completed,2022-09-13,2023-08-16,1200000.0,830647.0,EMP0891,Critical,Abu Dhabi,-369353.0,False,337.0,69.22058333333332,Closed,High
PRJ0110,Carbon Footprint Tracker - Q1 #110,Finance,In Progress,2024-08-13,,800000.0,760789.0,EMP0837,High,Dubai,-39211.0,False,,95.098625,Active,Medium
PRJ0111,Geo-spatial Intelligence Phase 2 #111,Sustainability,In Progress,2024-01-13,,200000.0,224323.0,EMP0799,Medium,Dubai,24323.0,True,,112.1615,Active,High
PRJ0112,Performance Analytics #112,Sales,In Progress,2023-07-28,,350000.0,399993.0,EMP0761,Medium,Abu Dhabi,49993.0,True,,114.28371428571428,Active,High
PRJ0113,Knowledge Management Portal #113,Engineering,In Progress,2024-09-21,,200000.0,190294.0,EMP0248,High,Dubai,-9706.0,False,,95.147,Active,Medium
PRJ0114,AI Forecasting Engine - Q4 #114,Marketing,Completed,2024-02-23,2024-05-14,80000.0,76336.0,EMP0939,High,Abu Dhabi,-3664.0,False,81.0,95.42,Closed,Medium
PRJ0115,AI Forecasting Engine Phase 2 #115,HR,Completed,2024-05-13,2025-09-02,800000.0,824778.0,EMP0051,Medium,Dubai,24778.0,True,477.0,103.09725,Closed,High
PRJ0116,Citizen Services Portal - Q1 #116,Sales,Completed,2024-06-03,2025-07-10,50000.0,36481.0,EMP0201,Low,Sharjah,-13519.0,False,402.0,72.962,Closed,Low
PRJ0117,AI Forecasting Engine - Q3 #117,Engineering,Completed,2023-06-04,2024-02-02,500000.0,405713.0,EMP0277,Medium,Dubai,-94287.0,False,243.0,81.1426,Closed,Low
PRJ0118,Identity Management Upgrade Phase 3 #118,IT,In Progress,2025-01-25,,500000.0,522211.0,EMP0890,Medium,Dubai,22211.0,True,,104.4422,Active,High
PRJ0119,Document Management System Phase 3 #119,HR,Completed,2023-04-12,2023-11-20,350000.0,231272.0,EMP0851,Low,Abu Dhabi,-118728.0,False,222.0,66.07771428571428,Closed,Low
PRJ0120,Master Data Management Phase 2 #120,Legal,In Progress,2024-09-21,,500000.0,401100.0,EMP0496,Critical,Dubai,-98900.0,False,,80.22,Active,High
PRJ0121,Cloud Migration Phase 1 #121,Data Science,In Progress,2023-09-28,,2000000.0,2040273.0,EMP0646,Medium,Dubai,40273.0,True,,102.01365,Active,High
PRJ0122,Employee Wellness App #122,Operations,In Progress,2024-04-08,,350000.0,240610.0,EMP0391,Medium,Abu Dhabi,-109390.0,False,,68.74571428571429,Active,Low
PRJ0123,Vendor Portal Phase 3 #123,Marketing,Completed,2022-06-18,2023-01-29,200000.0,173104.0,EMP0051,Medium,Abu Dhabi,-26896.0,False,225.0,86.55199999999999,Closed,Low
PRJ0124,Carbon Footprint Tracker - Q1 #124,Operations,Not Started,,,100000.0,0.0,EMP0250,Medium,Dubai,-100000.0,False,,0.0,Pending,Low
PRJ0125,Executive Dashboard Phase 3 #125,Operations,On Hold,2024-05-09,,600000.0,134614.0,EMP0640,Critical,Abu Dhabi,-465386.0,False,,22.435666666666663,Pending,High
PRJ0126,Employee Wellness App - Q4 #126,Procurement,In Progress,2024-01-16,,350000.0,300576.0,EMP0409,Critical,Sharjah,-49424.0,False,,85.87885714285714,Active,High
PRJ0127,Identity Management Upgrade #127,Procurement,In Progress,2023-05-21,,2000000.0,1894750.0,EMP0109,Critical,Dubai,-105250.0,False,,94.7375,Active,High
PRJ0128,Real-time Analytics Engine Phase 3 #128,Data Science,Not Started,,,500000.0,0.0,EMP0395,High,Dubai,-500000.0,False,,0.0,Pending,Medium
PRJ0129,MLOps Platform - Q2 #129,Finance,Completed,2022-04-19,2023-02-08,1200000.0,1077935.0,EMP0495,Low,Ajman,-122065.0,False,295.0,89.82791666666667,Closed,Low
PRJ0130,Data Platform Modernisation #130,HR,Completed,2022-10-30,2023-01-30,500000.0,319623.0,EMP0850,Medium,Abu Dhabi,-180377.0,False,92.0,63.9246,Closed,Low
PRJ0131,Recommendation System - Q1 #131,Legal,Completed,2022-10-01,2023-06-20,200000.0,199416.0,EMP0353,Medium,Dubai,-584.0,False,262.0,99.708,Closed,Medium
PRJ0132,Mobile Workforce App - Q2 #132,IT,Completed,2023-10-07,2025-02-19,50000.0,59126.0,EMP0063,High,Abu Dhabi,9126.0,True,501.0,118.252,Closed,High
PRJ0133,Network Security Overhaul #133,Sustainability,Completed,2022-11-27,2024-02-05,200000.0,149855.0,EMP0705,High,Ajman,-50145.0,False,435.0,74.92750000000001,Closed,Medium
PRJ0134,Employee Wellness App - Q1 #134,Procurement,In Progress,2022-07-02,,80000.0,93415.0,EMP0662,High,Dubai,13415.0,True,,116.76875,Active,High
PRJ0135,Contract Lifecycle Management - Q4 #135,IT,Not Started,,,0.0,0.0,EMP0358,Medium,Dubai,0.0,False,,,Pending,Low
PRJ0136,Knowledge Management Portal #136,IT,In Progress,2023-02-15,,200000.0,162144.0,EMP0776,High,Abu Dhabi,-37856.0,False,,81.072,Active,Medium
PRJ0137,Geo-spatial Intelligence Phase 3 #137,Engineering,Not Started,,,0.0,0.0,EMP0643,Low,Abu Dhabi,0.0,False,,,Pending,Low
PRJ0138,Cloud Migration Phase 1 #138,Engineering,In Progress,2023-09-20,,50000.0,54001.0,EMP0656,High,Sharjah,4001.0,True,,108.002,Active,High
PRJ0139,Employee Wellness App - Q2 #139,IT,Completed,2023-12-09,2024-03-27,120000.0,115179.0,EMP0662,Medium,Abu Dhabi,-4821.0,False,109.0,95.9825,Closed,Medium
PRJ0140,IoT Sensor Network Phase 2 #140,Digital,In Progress,2022-03-21,,2000000.0,2265880.0,EMP0939,Critical,Dubai,265880.0,True,,113.294,Active,High
PRJ0141,Customer Feedback Platform #141,HR,Completed,2024-11-27,2025-04-21,80000.0,71887.0,EMP0707,Medium,Dubai,-8113.0,False,145.0,89.85875,Closed,Low
PRJ0142,Mobile Workforce App - Q4 #142,Digital,On Hold,2023-03-09,,300000.0,52159.0,EMP0152,Medium,Dubai,-247841.0,False,,17.386333333333333,Pending,Low
PRJ0143,Regulatory Compliance Tool #143,HR,In Progress,2024-09-10,,80000.0,88693.0,EMP0101,High,Abu Dhabi,8693.0,True,,110.86625,Active,High
PRJ0144,Compliance Monitoring Phase 2 #144,Finance,In Progress,2024-07-06,,200000.0,155155.0,EMP0737,Medium,Abu Dhabi,-44845.0,False,,77.5775,Active,Low
PRJ0145,Internal Audit Digitisation #145,Digital,In Progress,2025-02-23,,1200000.0,1158957.0,EMP0348,Medium,Dubai,-41043.0,False,,96.57975,Active,Medium
PRJ0146,Legacy System Decommission #146,Operations,On Hold,2024-08-24,,150000.0,43841.0,EMP0873,Low,Abu Dhabi,-106159.0,False,,29.22733333333333,Pending,Low
PRJ0147,Customer Feedback Platform Phase 2 #147,HR,On Hold,,,600000.0,192937.0,EMP0608,High,Dubai,-407063.0,False,,32.15616666666667,Pending,Medium
PRJ0148,Resource Scheduling Tool Phase 2 #148,Data Science,Completed,2023-01-16,2024-06-15,200000.0,205489.0,EMP0083,High,Dubai,5489.0,True,516.0,102.7445,Closed,High
PRJ0149,Workflow Automation #149,Legal,In Progress,2022-08-27,,350000.0,210995.0,EMP0268,High,Sharjah,-139005.0,False,,60.28428571428572,Active,Medium
PRJ0150,Mobile Workforce App - Q2 #150,Operations,Completed,2024-04-03,2024-06-24,120000.0,82200.0,EMP0273,High,Abu Dhabi,-37800.0,False,82.0,68.5,Closed,Medium
PRJ0151,Performance Analytics Phase 2 #151,Sales,Completed,2023-07-13,2024-04-07,50000.0,42476.0,EMP0462,Medium,Dubai,-7524.0,False,269.0,84.952,Closed,Low
PRJ0152,Regulatory Compliance Tool Phase 3 #152,Marketing,In Progress,2024-03-20,,50000.0,50880.0,EMP0513,Low,Dubai,880.0,True,,101.76,Active,High
PRJ0153,Customer Portal Redesign #153,IT,On Hold,2023-07-07,,300000.0,45063.0,EMP0873,Medium,Dubai,-254937.0,False,,15.021,Pending,Low
PRJ0154,Quality Assurance Automation Phase 3 #154,Sustainability,In Progress,2023-06-20,,80000.0,84527.0,EMP0444,High,Sharjah,4527.0,True,,105.65875,Active,High
